timer, data_availability, working_mean, working_std
3, 0.985167, 0.246840, 0.007179
5, 0.994159, 0.246918, 0.007194
8, 0.996037, 0.247097, 0.007189
10, 0.999990, 0.247178, 0.007202
13, 0.998840, 0.247506, 0.007163
15, 0.998569, 0.247659, 0.007181
20, 0.999976, 0.247980, 0.007178
25, 0.999338, 0.248373, 0.007197
30, 1.000000, 0.248786, 0.007172
35, 1.000000, 0.249213, 0.007145
40, 0.999794, 0.249583, 0.007123
60, 0.999990, 0.251525, 0.007145
80, 1.000000, 0.253503, 0.006951
100, 1.000000, 0.255771, 0.007005
200, 1.000000, 0.267786, 0.007010
250, 1.000000, 0.279120, 0.007091
300, 0.997521, 0.314031, 0.009813
350, 0.967964, 0.347347, 0.009907
380, 0.936135, 0.350539, 0.006815
400, 0.886820, 0.350864, 0.006620
