groupsize, data_availability, sleeping_mean, sleeping_std, retransmission_ratio, suppression_ratio
5, 1.000000, 508296.160000, 3456.254451, 0.029573, 0.614909
6, 1.000000, 638100.266667, 3174.990602, 0.027312, 0.467562
7, 0.999365, 732364.285714, 4282.650436, 0.029449, 0.381308
8, 0.999993, 798822.275000, 5801.850713, 0.028711, 0.320348
9, 0.999374, 851781.777778, 7440.106527, 0.027793, 0.278046
10, 1.000000, 899422.560000, 8583.448401, 0.024217, 0.242684
11, 1.000000, 933734.854545, 9935.768432, 0.022229, 0.217593
12, 1.000000, 956017.083333, 11375.205078, 0.022141, 0.196314
13, 0.999984, 979295.784615, 13828.583719, 0.022599, 0.181829
14, 1.000000, 1002216.357143, 11676.963004, 0.022573, 0.165061
15, 1.000000, 1022356.920000,15041.296255, 0.020691, 0.153437
