groupsize, data_availability, DRTO, DRTO_std, first_delay, first_size, last_delay, last_size, len
5, 1.000000, 0.011576, 0.001063, 139.727179, 3.997949, 293.235897, 6.369231, 975
6, 1.000000, 0.012496, 0.001232, 151.000000, 3.800412, 405.334362, 10.506173, 972
7, 1.000000, 0.012445, 0.000996, 150.297436, 3.640000, 506.063590, 14.193846, 975
8, 1.000000, 0.012661, 0.001190, 153.021472, 3.652352, 619.481595, 18.004090, 978
9, 1.000000, 0.012954, 0.001374, 156.612140, 3.656379, 734.311728, 21.734568, 972
10, 1.000000, 0.012758, 0.001141, 154.166667, 3.617587, 835.914110, 25.084867, 978
11, 0.999978, 0.012854, 0.001053, 155.341513, 3.629857, 953.041922, 28.618609, 978
12, 1.000000, 0.012741, 0.001258, 154.020576, 3.643004, 1059.251029, 32.339506, 972
13, 1.000000, 0.012855, 0.001065, 155.404103, 3.613333, 1157.333333, 35.500513, 975
14, 1.000000, 0.012723, 0.001551, 153.706667, 3.623590, 1283.404103, 39.220513, 975
15, 1.000000, 0.012876, 0.001353, 155.596330, 3.625892, 1388.447503, 42.647299, 981
